REFERENCIA;CONSUMIBLES;CAPACIDAD;COMPATIBILIDADES;DESCRIPCION
006R01515;Xerox WorkCentre 7525/7535/7545/7830 Magenta Cartucho de Toner Original - 006R01515;15.000 Páginas;<WorkCentre> 7525, 7530, 7535, 7545, 7556, 7830, 7835, 7845, 7855, 7830F, 7830i, 7830T, 7835F, 7835i, 7835T, 7845F, 7845i, 7845T, 7855F, 7855i, 7970, 7970i;"Cartucho de toner original Xerox WorkCentre 7525/7535/7545/7830 (006R01515) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox WorkCentre 7525
Xerox WorkCentre 7530
Xerox WorkCentre 7535
Xerox WorkCentre 7545
Xerox WorkCentre 7556
Xerox WorkCentre 7830
Xerox WorkCentre 7835
Xerox WorkCentre 7845
Xerox WorkCentre 7855
Xerox WorkCentre 7830F
Xerox WorkCentre 7830i
Xerox WorkCentre 7830T
Xerox WorkCentre 7835F
Xerox WorkCentre 7835i
Xerox WorkCentre 7835T
Xerox WorkCentre 7845F
Xerox WorkCentre 7845i
Xerox WorkCentre 7845T
Xerox WorkCentre 7855F
Xerox WorkCentre 7855i
Xerox WorkCentre 7970
Xerox WorkCentre 7970i

Rendimiento: 15.000 Páginas"
006R01516;Xerox WorkCentre 7525/7535/7545/7830 Cyan Cartucho de Toner Original - 006R01516;15.000 Páginas;<WorkCentre> 7525, 7530, 7535, 7545, 7556, 7830, 7835, 7845, 7855, 7830F, 7830i, 7830T, 7835F, 7835i, 7835T, 7845F, 7845i, 7845T, 7855F, 7855i, 7970, 7970i;"Cartucho de toner original Xerox WorkCentre 7525/7535/7545/7830 (006R01516) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox WorkCentre 7525
Xerox WorkCentre 7530
Xerox WorkCentre 7535
Xerox WorkCentre 7545
Xerox WorkCentre 7556
Xerox WorkCentre 7830
Xerox WorkCentre 7835
Xerox WorkCentre 7845
Xerox WorkCentre 7855
Xerox WorkCentre 7830F
Xerox WorkCentre 7830i
Xerox WorkCentre 7830T
Xerox WorkCentre 7835F
Xerox WorkCentre 7835i
Xerox WorkCentre 7835T
Xerox WorkCentre 7845F
Xerox WorkCentre 7845i
Xerox WorkCentre 7845T
Xerox WorkCentre 7855F
Xerox WorkCentre 7855i
Xerox WorkCentre 7970
Xerox WorkCentre 7970i

Rendimiento: 15.000 Páginas"
006R01525;Xerox Color 550/560/570 Negro Cartucho de Toner Original - 006R01525;30.000 Páginas;<Color> 550, 560, 570;"Cartucho de toner original Xerox Color 550/560/570 (006R01525) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox Color 550
Xerox Color 560
Xerox Color 570

Rendimiento: 30.000 Páginas"
006R01526;Xerox Color 550/560/570 Amarillo Cartucho de Toner Original - 006R01526;34.000 Páginas;<Color> 550, 560, 570;"Cartucho de toner original Xerox Color 550/560/570 (006R01526) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox Color 550
Xerox Color 560
Xerox Color 570

Rendimiento: 34.000 Páginas"
006R01527;Xerox Color 550/560/570 Magenta Cartucho de Toner Original - 006R01527;34.000 Páginas;<Color> 550, 560, 570;"Cartucho de toner original Xerox Color 550/560/570 (006R01527) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox Color 550
Xerox Color 560
Xerox Color 570

Rendimiento: 34.000 Páginas"
006R01528;Xerox Color 550/560/570 Cyan Cartucho de Toner Original - 006R01528;34.000 Páginas;<Color> 550, 560, 570;"Cartucho de toner original Xerox Color 550/560/570 (006R01528) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox Color 550
Xerox Color 560
Xerox Color 570

Rendimiento: 34.000 Páginas"
006R01561;Xerox D95A/D110/D125 Negro Cartucho de Toner Original - 006R01561;65.000 Páginas;<D> 95A, 110, 125;"Cartucho de toner original Xerox D95A/D110/D125 (006R01561) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox D 95A
Xerox D 110
Xerox D 125

Rendimiento: 65.000 Páginas"
006R01605;Xerox AltaLink B8045/B8055/B8065/B8075/B8090/ WorkCentre 5945/5955 Negro Cartucho de Toner Original - 006R01605;44.000 Páginas;"<AltaLink> B8000 series, B8045, B8055, B8065, B8075, B8090
<WorkCentre> 5900i series, 5945, 5955";"Cartucho de toner original Xerox AltaLink B8045/B8055/B8065/B8075/B8090/ WorkCentre 5945/5955 (006R01605) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox AltaLink B8000 series
Xerox AltaLink B8045
Xerox AltaLink B8055
Xerox AltaLink B8065
Xerox AltaLink B8075
Xerox AltaLink B8090
Xerox WorkCentre 5900i series
Xerox WorkCentre 5945
Xerox WorkCentre 5955

Rendimiento: 44.000 Páginas"
006R01630;Xerox Versant 2100/3100 Negro Cartucho de Toner Original - 006R01630;23.000 Páginas;<Versant> 2100, 3100;"Cartucho de toner original Xerox Versant 2100/3100 (006R01630) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox Versant 2100
Xerox Versant 3100

Rendimiento: 23.000 Páginas"
006R01631;Xerox Versant 2100/3100 Cyan Cartucho de Toner Original - 006R01631;25.000 Páginas;<Versant> 2100, 3100;"Cartucho de toner original Xerox Versant 2100/3100 (006R01631) de alta calidad.

Adecuado para uso en las siguientes impresoras:
Xerox Versant 2100
Xerox Versant 3100

Rendimiento: 25.000 Páginas"
